string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules
0,1-4-NB05-10,4371.81200150638,2242.23102567846,0,0,0,0,4354.62695405245,2242.68902125494,4354.62695405245,2241.77303010199,4388.99704896032,2241.77303010199,4388.99704896032,2242.68902125494,14
0,1-4-NB05-10,4371.81200150638,2243.22791939649,1,0,0,0,4354.62695405245,2243.68591497297,4354.62695405245,2242.76992382002,4388.99704896032,2242.76992382001,4388.99704896032,2243.68591497296,14
1,1-4-NB05-9,4371.81200150638,2244.22481311452,0,0,0,0,4354.62695405245,2244.68280869099,4354.62695405245,2243.76681753804,4388.99704896032,2243.76681753804,4388.99704896032,2244.68280869099,14
1,1-4-NB05-9,4371.81200150638,2245.22170683254,1,0,0,0,4354.62695405245,2245.67970240902,4354.62695405245,2244.76371125607,4388.99704896032,2244.76371125607,4388.99704896032,2245.67970240902,14
2,1-4-NB05-12,4406.79557034858,2242.09194509516,0,0,0,0,4389.61052289465,2242.54994067164,4389.61052289465,2241.63394951869,4423.98061780252,2241.63394951869,4423.98061780252,2242.54994067164,14
2,1-4-NB05-12,4406.79557034858,2243.08883881319,1,0,0,0,4389.61052289465,2243.54683438966,4389.61052289465,2242.63084323671,4423.98061780252,2242.63084323671,4423.98061780252,2243.54683438966,14
3,1-4-NB05-11,4406.79557034858,2244.08573253122,0,0,0,0,4389.61052289465,2244.54372810769,4389.61052289465,2243.62773695474,4423.98061780252,2243.62773695474,4423.98061780251,2244.54372810769,14
3,1-4-NB05-11,4406.79557034858,2245.08262624924,1,0,0,0,4389.61052289465,2245.54062182572,4389.61052289465,2244.62463067277,4423.98061780252,2244.62463067277,4423.98061780252,2245.54062182572,14
4,1-4-NB05-2,4371.81200150638,2260.33311000674,0,0,0,0,4354.62695405245,2260.79110558322,4354.62695405245,2259.87511443027,4388.99704896032,2259.87511443027,4388.99704896032,2260.79110558322,14
4,1-4-NB05-2,4371.81200150639,2261.33000372477,1,0,0,0,4354.62695405245,2261.78799930124,4354.62695405245,2260.87200814829,4388.99704896032,2260.87200814829,4388.99704896032,2261.78799930124,14
5,1-4-NB05-1,4371.81200150638,2262.3268974428,0,0,0,0,4354.62695405245,2262.78489301927,4354.62695405245,2261.86890186632,4388.99704896032,2261.86890186632,4388.99704896032,2262.78489301927,14
5,1-4-NB05-1,4371.81200150638,2263.32379116082,1,0,0,0,4354.62695405245,2263.7817867373,4354.62695405245,2262.86579558435,4388.99704896032,2262.86579558435,4388.99704896032,2263.7817867373,14
6,1-4-NB05-4,4406.79557034858,2260.19402942344,0,0,0,0,4389.61052289465,2260.65202499992,4389.61052289465,2259.73603384697,4423.98061780252,2259.73603384697,4423.98061780252,2260.65202499992,14
6,1-4-NB05-4,4406.79557034858,2261.19092314147,1,0,0,0,4389.61052289465,2261.64891871794,4389.61052289465,2260.73292756499,4423.98061780252,2260.73292756499,4423.98061780252,2261.64891871794,14
7,1-4-NB05-3,4406.79557034858,2262.18781685949,0,0,0,0,4389.61052289465,2262.64581243597,4389.61052289465,2261.72982128302,4423.98061780252,2261.72982128302,4423.98061780252,2262.64581243597,14
7,1-4-NB05-3,4406.79557034858,2263.18471057752,1,0,0,0,4389.61052289465,2263.642706154,4389.61052289465,2262.72671500105,4423.98061780252,2262.72671500105,4423.98061780252,2263.642706154,14
8,1-4-NB05-6,4441.77189974472,2260.12367867593,0,0,0,0,4424.58685229078,2260.5816742524,4424.58685229078,2259.66568309945,4458.95694719865,2259.66568309945,4458.95694719865,2260.5816742524,14
8,1-4-NB05-6,4441.77189974472,2261.12057239395,1,0,0,0,4424.58685229078,2261.57856797043,4424.58685229078,2260.66257681748,4458.95694719865,2260.66257681748,4458.95694719865,2261.57856797043,14
9,1-4-NB05-5,4441.77189974472,2262.11746611198,0,0,0,0,4424.58685229078,2262.57546168846,4424.58685229078,2261.65947053551,4458.95694719865,2261.65947053551,4458.95694719865,2262.57546168846,14
9,1-4-NB05-5,4441.77189974472,2263.11435983001,1,0,0,0,4424.58685229078,2263.57235540648,4424.58685229078,2262.65636425353,4458.95694719865,2262.65636425353,4458.95694719865,2263.57235540648,14
10,1-4-NB05-8,4476.66265193336,2259.9193166671,0,0,0,0,4459.47760447943,2260.37731224358,4459.47760447943,2259.46132109063,4493.8476993873,2259.46132109063,4493.8476993873,2260.37731224358,14
10,1-4-NB05-8,4476.66265193336,2260.91621038513,1,0,0,0,4459.47760447943,2261.37420596161,4459.47760447943,2260.45821480865,4493.8476993873,2260.45821480865,4493.8476993873,2261.3742059616,14
11,1-4-NB05-7,4476.66265193336,2261.91310410316,0,0,0,0,4459.47760447943,2262.37109967963,4459.47760447943,2261.45510852668,4493.8476993873,2261.45510852668,4493.8476993873,2262.37109967963,14
11,1-4-NB05-7,4476.66265193336,2262.90999782118,1,0,0,0,4459.47760447943,2263.36799339766,4459.47760447943,2262.45200224471,4493.8476993873,2262.45200224471,4493.8476993873,2263.36799339766,14
12,1-4-NB04-9,4372.05371681057,2278.31442051954,0,0,0,0,4354.86866935663,2278.77241609602,4354.86866935663,2277.85642494307,4389.2387642645,2277.85642494307,4389.2387642645,2278.77241609602,14
12,1-4-NB04-9,4372.05371681057,2279.31131423757,1,0,0,0,4354.86866935663,2279.76930981404,4354.86866935663,2278.85331866109,4389.2387642645,2278.85331866109,4389.2387642645,2279.76930981404,14
13,1-4-NB04-8,4372.05371681057,2280.30820795559,0,0,0,0,4354.86866935663,2280.76620353207,4354.86866935663,2279.85021237912,4389.2387642645,2279.85021237912,4389.2387642645,2280.76620353207,14
13,1-4-NB04-8,4372.05371681057,2281.30510167362,1,0,0,0,4354.86866935663,2281.7630972501,4354.86866935663,2280.84710609715,4389.2387642645,2280.84710609715,4389.2387642645,2281.7630972501,14
14,1-4-NB04-11,4406.9930586438,2278.23032380487,0,0,0,0,4389.80801118987,2278.68831938135,4389.80801118987,2277.7723282284,4424.17810609774,2277.7723282284,4424.17810609774,2278.68831938134,14
14,1-4-NB04-11,4406.9930586438,2279.2272175229,1,0,0,0,4389.80801118987,2279.68521309937,4389.80801118987,2278.76922194642,4424.17810609774,2278.76922194642,4424.17810609773,2279.68521309937,14
15,1-4-NB04-10,4406.9930586438,2280.22411124092,0,0,0,0,4389.80801118987,2280.6821068174,4389.80801118987,2279.76611566445,4424.17810609774,2279.76611566445,4424.17810609774,2280.6821068174,14
15,1-4-NB04-10,4406.9930586438,2281.22100495895,1,0,0,0,4389.80801118987,2281.67900053542,4389.80801118987,2280.76300938248,4424.17810609773,2280.76300938248,4424.17810609774,2281.67900053542,14
16,1-4-NB04-13,4441.8417967546,2278.1907703803,0,0,0,0,4424.65674930067,2278.64876595677,4424.65674930067,2277.73277480382,4459.02684420854,2277.73277480382,4459.02684420854,2278.64876595677,14
16,1-4-NB04-13,4441.8417967546,2279.18766409833,1,0,0,0,4424.65674930067,2279.6456596748,4424.65674930067,2278.72966852185,4459.02684420854,2278.72966852185,4459.02684420854,2279.6456596748,14
17,1-4-NB04-12,4441.8417967546,2280.18455781635,0,0,0,0,4424.65674930067,2280.64255339283,4424.65674930067,2279.72656223988,4459.02684420854,2279.72656223988,4459.02684420854,2280.64255339283,14
17,1-4-NB04-12,4441.8417967546,2281.18145153438,1,0,0,0,4424.65674930067,2281.63944711085,4424.65674930067,2280.7234559579,4459.02684420854,2280.7234559579,4459.02684420854,2281.63944711085,14
18,1-4-NB03-8,4372.06146206946,2296.3673054093,0,0,0,0,4354.87641461553,2296.82530098578,4354.87641461553,2295.90930983283,4389.2465095234,2295.90930983283,4389.2465095234,2296.82530098578,14
18,1-4-NB03-8,4372.06146206946,2297.36419912733,1,0,0,0,4354.87641461553,2297.82219470381,4354.87641461553,2296.90620355086,4389.24650952339,2296.90620355086,4389.24650952339,2297.82219470381,14
19,1-4-NB03-7,4372.06146206946,2298.36109284536,0,0,0,0,4354.87641461553,2298.81908842183,4354.87641461553,2297.90309726888,4389.2465095234,2297.90309726888,4389.2465095234,2298.81908842183,14
19,1-4-NB03-7,4372.06146206946,2299.35798656338,1,0,0,0,4354.87641461553,2299.81598213986,4354.87641461553,2298.89999098691,4389.24650952339,2298.89999098691,4389.24650952339,2299.81598213986,14
20,1-4-NB03-10,4407.00238456778,2296.24894707013,0,0,0,0,4389.81733711384,2296.70694264661,4389.81733711384,2295.79095149366,4424.18743202171,2295.79095149366,4424.18743202171,2296.70694264661,14
20,1-4-NB03-10,4407.00238456778,2297.24584078816,1,0,0,0,4389.81733711384,2297.70383636463,4389.81733711384,2296.78784521168,4424.18743202171,2296.78784521168,4424.18743202171,2297.70383636463,14
21,1-4-NB03-9,4407.00238456778,2298.24273450619,0,0,0,0,4389.81733711384,2298.70073008266,4389.81733711384,2297.78473892971,4424.18743202171,2297.78473892971,4424.18743202171,2298.70073008266,14
21,1-4-NB03-9,4407.00238456778,2299.23962822421,1,0,0,0,4389.81733711384,2299.69762380069,4389.81733711384,2298.78163264774,4424.18743202171,2298.78163264774,4424.18743202171,2299.69762380069,14
22,1-4-NB03-12,4441.96398216536,2296.14174441761,0,0,0,0,4424.77893471143,2296.59973999408,4424.77893471143,2295.68374884113,4459.1490296193,2295.68374884113,4459.1490296193,2296.59973999408,14
22,1-4-NB03-12,4441.96398216536,2297.13863813563,1,0,0,0,4424.77893471143,2297.59663371211,4424.77893471143,2296.68064255916,4459.1490296193,2296.68064255916,4459.1490296193,2297.59663371211,14
23,1-4-NB03-11,4441.96398216536,2298.13553185366,0,0,0,0,4424.77893471143,2298.59352743014,4424.77893471143,2297.67753627719,4459.1490296193,2297.67753627719,4459.1490296193,2298.59352743014,14
23,1-4-NB03-11,4441.96398216536,2299.13242557169,1,0,0,0,4424.77893471143,2299.59042114816,4424.77893471143,2298.67442999521,4459.1490296193,2298.67442999521,4459.1490296193,2299.59042114816,14
24,1-4-NB04-1,4476.93658119191,2296.08620435378,0,0,0,0,4459.75153373797,2296.54419993025,4459.75153373797,2295.62820877731,4494.12162864584,2295.6282087773,4494.12162864584,2296.54419993025,14
24,1-4-NB04-1,4476.93658119191,2297.08309807181,1,0,0,0,4459.75153373797,2297.54109364828,4459.75153373797,2296.62510249533,4494.12162864584,2296.62510249533,4494.12162864584,2297.54109364828,14
25,1-4-NB03-13,4476.93658119191,2298.07999178983,0,0,0,0,4459.75153373797,2298.53798736631,4459.75153373797,2297.62199621336,4494.12162864584,2297.62199621336,4494.12162864584,2298.53798736631,14
25,1-4-NB03-13,4476.93658119191,2299.07688550786,1,0,0,0,4459.75153373797,2299.53488108433,4459.75153373797,2298.61888993138,4494.12162864584,2298.61888993138,4494.12162864584,2299.53488108433,14
26,1-4-NB03-2,4548.60940031513,2313.79289741367,0,0,0,0,4531.4243528612,2314.25089299014,4531.4243528612,2313.33490183719,4565.79444776906,2313.33490183719,4565.79444776906,2314.25089299014,14
26,1-4-NB03-2,4548.60940031513,2314.78979113169,1,0,0,0,4531.4243528612,2315.24778670817,4531.4243528612,2314.33179555522,4565.79444776907,2314.33179555522,4565.79444776907,2315.24778670817,14
27,1-4-NB03-1,4548.60940031513,2315.78668484972,0,0,0,0,4531.4243528612,2316.2446804262,4531.4243528612,2315.32868927325,4565.79444776907,2315.32868927325,4565.79444776906,2316.2446804262,14
27,1-4-NB03-1,4548.60940031513,2316.78357856775,1,0,0,0,4531.4243528612,2317.24157414422,4531.4243528612,2316.32558299127,4565.79444776907,2316.32558299127,4565.79444776906,2317.24157414422,14
28,1-4-NB03-4,4583.65028407317,2313.76055863544,0,0,0,0,4566.46523661924,2314.21855421192,4566.46523661924,2313.30256305897,4600.83533152711,2313.30256305897,4600.83533152711,2314.21855421192,14
28,1-4-NB03-4,4583.65028407317,2314.75745235347,1,0,0,0,4566.46523661924,2315.21544792995,4566.46523661924,2314.299456777,4600.83533152711,2314.299456777,4600.83533152711,2315.21544792995,14
29,1-4-NB03-3,4583.65028407317,2315.7543460715,0,0,0,0,4566.46523661924,2316.21234164797,4566.46523661924,2315.29635049502,4600.83533152711,2315.29635049502,4600.83533152711,2316.21234164797,14
29,1-4-NB03-3,4583.65028407317,2316.75123978952,1,0,0,0,4566.46523661924,2317.209235366,4566.46523661924,2316.29324421305,4600.83533152711,2316.29324421305,4600.83533152711,2317.209235366,14
30,1-4-NB03-6,4618.53781170506,2313.64053171067,0,0,0,0,4601.35276425112,2314.09852728714,4601.35276425112,2313.1825361342,4635.72285915899,2313.1825361342,4635.72285915899,2314.09852728714,14
30,1-4-NB03-6,4618.53781170506,2314.6374254287,1,0,0,0,4601.35276425112,2315.09542100517,4601.35276425113,2314.17942985222,4635.72285915899,2314.17942985222,4635.72285915899,2315.09542100517,14
31,1-4-NB03-5,4618.53781170506,2315.63431914672,0,0,0,0,4601.35276425112,2316.0923147232,4601.35276425112,2315.17632357025,4635.72285915899,2315.17632357025,4635.72285915899,2316.0923147232,14
31,1-4-NB03-5,4618.53781170506,2316.63121286475,1,0,0,0,4601.35276425112,2317.08920844122,4601.35276425113,2316.17321728827,4635.72285915899,2316.17321728827,4635.72285915899,2317.08920844122,14
32,1-4-NB04-3,4513.63844518028,2295.93675894711,0,0,0,0,4496.45339772634,2296.39475452358,4496.45339772634,2295.47876337063,4530.82349263421,2295.47876337063,4530.82349263421,2296.39475452358,14
32,1-4-NB04-3,4513.63844518028,2296.93365266513,1,0,0,0,4496.45339772634,2297.39164824161,4496.45339772634,2296.47565708866,4530.82349263421,2296.47565708866,4530.82349263421,2297.39164824161,14
33,1-4-NB04-2,4513.63844518028,2297.93054638316,0,0,0,0,4496.45339772634,2298.38854195964,4496.45339772634,2297.47255080669,4530.82349263421,2297.47255080669,4530.82349263421,2298.38854195964,14
33,1-4-NB04-2,4513.63844518028,2298.92744010119,1,0,0,0,4496.45339772634,2299.38543567766,4496.45339772634,2298.46944452471,4530.82349263421,2298.46944452471,4530.82349263421,2299.38543567766,14
34,1-4-NB04-5,4548.52515086631,2295.80978752794,0,0,0,0,4531.34010341238,2296.26778310441,4531.34010341238,2295.35179195146,4565.71019832024,2295.35179195146,4565.71019832024,2296.26778310441,14
34,1-4-NB04-5,4548.52515086631,2296.80668124596,1,0,0,0,4531.34010341238,2297.26467682244,4531.34010341238,2296.34868566949,4565.71019832024,2296.34868566949,4565.71019832024,2297.26467682244,14
35,1-4-NB04-4,4548.52515086631,2297.80357496399,0,0,0,0,4531.34010341238,2298.26157054047,4531.34010341238,2297.34557938752,4565.71019832024,2297.34557938752,4565.71019832024,2298.26157054046,14
35,1-4-NB04-4,4548.52515086631,2298.80046868202,1,0,0,0,4531.34010341238,2299.25846425849,4531.34010341238,2298.34247310554,4565.71019832024,2298.34247310554,4565.71019832024,2299.25846425849,14
36,1-4-NB04-7,4583.56603462435,2295.77744874971,0,0,0,0,4566.38098717042,2296.23544432619,4566.38098717042,2295.31945317324,4600.75108207829,2295.31945317324,4600.75108207828,2296.23544432619,14
36,1-4-NB04-7,4583.56603462435,2296.77434246774,1,0,0,0,4566.38098717042,2297.23233804421,4566.38098717042,2296.31634689127,4600.75108207829,2296.31634689127,4600.75108207828,2297.23233804421,14
37,1-4-NB04-6,4583.56603462435,2297.77123618577,0,0,0,0,4566.38098717042,2298.22923176224,4566.38098717042,2297.31324060929,4600.75108207828,2297.31324060929,4600.75108207829,2298.22923176224,14
37,1-4-NB04-6,4583.56603462435,2298.76812990379,1,0,0,0,4566.38098717042,2299.22612548027,4566.38098717042,2298.31013432732,4600.75108207829,2298.31013432732,4600.75108207828,2299.22612548027,14
